Incident_Nr,Arrest_Date,Officer,Officer_Last_Name,Officer_Badge_Id,Arrest_Nr,Age,Gender,Race,Charge
080000031455-001,5/23/2018,,,,C18100055914,42,Female,White,Theft < $100
080000040150-001,6/29/2018,,,,C18001074368,31,Female,White,
090000022760-001,1/9/2019,,,,00M09069JP12,38,Male,White,Interfer W/emergency Req For Assistance
150000066218-001,5/19/2017,TENNANT 13045,Tennant,13045,A17000097799,36,Male,White,
150000093958-001,2/1/2017,Wisener 12586,Wisener,12586,A17000096702,30,Male,White,BURGLARY OF VEHICLE
150000097826-001,3/5/2018,Pierce 12683,Pierce,12683,A18000099599,25,Male,Black,Murder
150000097826-002,3/5/2018,S. Spriegel,Spriegel,,A18000099597,27,Male,Black,Murder
160000022220-001,3/24/2017,McGee 12964,Mcgee,12964,00M16217JP11,33,Male,White,UNAUTH USE OF VEHICLE
160000048629-001,1/3/2017,Officer B. Seals,Seals,,A17000096507,24,Male,Black,BURGLARY OF HABITATION
160000060161-001,8/15/2017,Templeton 11946,Templeton,11946,A17000098404,21,Male,White,AGG ASSAULT W/DEADLY WEAPON
160000060161-002,8/15/2017,V. Fischer 12311,Fischer,12311,A17000098405,26,Male,Black,AGG ASSAULT W/DEADLY WEAPON
160000062541-001,3/26/2017,Hartman 11936,Hartman,11936,A17000097095,27,Male,Black,AGG ASSAULT CAUSES SERIOUS BODILY INJ
160000066711-001,5/7/2017,Putnam 12768,Putnam,12768,A17000097711,24,Female,White,ROBBERY
160000068348-002,2/17/2017,Duckworth 12478,Duckworth,12478,A17000096814,24,Male,Black,Fail To Identify Giving False/fictitious
160000077539-001,2/2/2017,CASTILLO 11969,Castillo,11969,A17000096710,21,Male,White,AGG SEXUAL ASSAULT
160000077539-002,2/2/2017,Castillo 11969,Castillo,11969,A17000096709,21,Male,White,AGG SEXUAL ASSAULT
160000077577-001,5/3/2017,Osborne 12620,Osborne,12620,A17000097372,38,Female,White,Injury Child/elderly/disable W/int Bodil
160000079644-002,1/10/2017,Aubry 12619,Aubry,12619,00F16218JP11,40,Female,White,"Theft Prop >=$2,500<$30k"
160000080170-001,1/28/2017,Tureaud #12967,Tureaud,12967,A17000096670,27,Male,Black,
160000088971-001,5/5/2017,,,,J16000009254,20,Male,White,UNAUTH USE OF VEHICLE
160000088971-002,5/17/2017,Putnam 12768,Putnam,12768,A17000097786,30,Male,Black,Theft Prop >=$100<$750
160000089697-001,1/6/2017,C. Tankersley #307/12074,Tankersley,12074,A17000096528,28,Male,Black,BURGLARY OF HABITATION
160000089697-002,1/6/2017,C. Tankersley #307/12074,Tankersley,12074,A17000096527,22,Female,White,BURGLARY OF HABITATION
160000094523-001,5/17/2017,T Davidson 12617/#468,Davidson,12617,A17000097779,38,Male,White,CRIM TRESPASS HABIT/SHLTR/SUPRFUND/INFST
160000094529-001,1/4/2017,B. Pierce 438/12683,Pierce,12683,A17000096516,36,Female,White,Criminal Mischief >=$100<$750
160000095174-002,1/1/2017,Gonzales 12911,Gonzales,12911,A16000096496,21,Female,White,RESIST ARREST SEARCH OR TRANSPORT
170000000021-001,1/1/2017,Cpl Loy H. Locke III,Locke,,A17000096503,29,Male,Black,Public Intoxication - Other Substance
170000000029-001,1/1/2017,Crook #470/11910,Crook,11910,A17000096493,25,Male,White,POSS MARIJ >2OZ<=4OZ
170000000034-002,1/1/2017,,,,A17000096491,30,Male,White,DRIVING WHILE INTOXICATED
170000000063-001,1/1/2017,Sarver 12832,Sarver,12832,A17000096490,22,Male,White,POSS MARIJ <2OZ
170000000063-002,1/1/2017,Sarver 12832,Sarver,12832,A17000096495,22,Male,White,POSS MARIJ <2OZ
170000000067-001,1/1/2017,Hartman,Hartman,,C17000428745,27,Male,White,
170000000072-001,1/1/2017,Scott,Scott,,C17000426646,29,Female,White,
170000000088-003,1/1/2017,Cormier,Cormier,,C17000428645,20,Male,White,Consumption Of Alcohol By A Minor 3rd-En
170000000090-001,1/1/2017,Hartman,Hartman,,C17000428748,25,Male,White,
170000000104-001,1/1/2017,,,,C16000427546,27,Male,Black,
170000000107-001,1/1/2017,Copeland,Copeland,,A17000096492,38,Male,White,
170000000114-001,1/1/2017,Buller 478,Buller,,A17000096489,55,Male,White,DRIVING W/LIC INV W/PREV CONV/SUSP/W/O F
170000000156-001,1/1/2017,Templeton 11946,Templeton,11946,A17000096494,66,Female,White,Public Intoxication - Other Substance
170000000186-001,1/1/2017,Sarver 12832,Sarver,12832,A17000096497,60,Male,White,
170000000207-001,1/1/2017,Scott,Scott,,C17000417539,20,Male,White,
170000000214-001,1/1/2017,C. Cormier 11898,Cormier,11898,A17000096498,29,Male,White,Reckless Driving
170000000237-001,1/2/2017,Aubry 12619,Aubry,12619,A17000096501,31,Male,White,FRAUD USE/POSS IDENTIFYING INFO # ITEMS
170000000237-002,1/2/2017,Aubry 12619,Aubry,12619,A17000096500,39,Male,White,FRAUD USE/POSS IDENTIFYING INFO # ITEMS
170000000242-001,1/2/2017,Scott 11908,Scott,11908,A17000096499,23,Male,White,Assault - Threaten
170000000246-001,1/2/2017,Gonzales 12911,Gonzales,12911,A17000096502,34,Male,White,EVADING ARREST DETENTION
170000000361-001,1/2/2017,Seals 12747/480,Seals,12747,A17000096504,24,Male,White,Reckless Driving
170000000391-001,1/2/2017,Osborne 12620,Osborne,12620,C17000001929,30,Male,White,DRIVING W/LIC INV W/PREV CONV/SUSP/W/O F
170000000451-001,1/3/2017,Wisener 12586,Wisener,12586,A17000096505,39,Female,White,
170000000503-001,1/3/2017,Harrison 10198,Harrison,10198,A17000096510,23,Male,Asian,Theft Prop >=$100<$750
170000000523-001,1/3/2017,Copeland,Copeland,,A17000096508,34,Male,Black,Theft Prop >=$100<$750
170000000600-001,1/3/2017,Contreras 12772,Contreras,12772,A17000096509,44,Male,White,
170000000629-001,1/4/2017,Cyrus   12833,Cyrus,12833,A17000096506,42,Male,White,
170000000629-002,1/4/2017,Cyrus    12833,Cyrus,12833,A17000096511,33,Male,White,
170000000665-001,1/1/2017,Hartman,Hartman,,C17000428749,25,Male,White,
170000000674-001,1/4/2017,Allen 12748,Allen,12748,A17000096512,28,Female,White,
170000000862-001,1/4/2017,Smith 12075,Smith,12075,A17000096514,36,Female,White,AGG ASSAULT W/DEADLY WEAPON
170000000862-002,1/4/2017,Davidson,Davidson,,A17000096513,35,Male,White,ASSAULT CAUSES BODILY INJURY FAMILY VIOL
170000000873-001,1/4/2017,Wooten 12966/473,Wooten,12966,A17000096515,49,Male,White,UNL POSS METAL OR BODY ARMOR BY FELON
170000000880-001,1/4/2017,Smith 499,Smith,,A17000096519,50,Male,Black,DRIVING W/LIC INV W/PREV CONV/SUSP/W/O F
170000000893-001,1/5/2017,C. Cormier 11898,Cormier,11898,A17000096517,27,Female,White,DRIVING W/LIC INV W/PREV CONV/SUSP/W/O F
170000000901-001,1/5/2017,Tureaud #12967,Tureaud,12967,A17000096518,44,Male,White,DRIVING W/LIC INV W/PREV CONV/SUSP/W/O F
170000000916-001,2/20/2017,Beach 12089,Beach,12089,A17000096837,22,Female,White,BURGLARY OF BUILDING
